book_key,goodreads_book_id,tag_id,tag_name,normalized_tag_name,canonical_genre,count
27,1,11305,fantasy,fantasy,fantasy,37174
27,1,33114,young-adult,young-adult,young_adult,12716
27,1,11743,fiction,fiction,fiction,9954
27,1,6953,childrens,childrens,children,2408
27,1,6857,children,children,children,1560
27,1,7457,classics,classics,classics,958
27,1,22973,paranormal,paranormal,paranormal,673
27,1,20939,mystery,mystery,mystery,465
27,1,26138,romance,romance,romance,334
27,1,8055,contemporary,contemporary,contemporary,289
21,2,11305,fantasy,fantasy,fantasy,3441
21,2,6857,children,children,children,1591
21,2,11743,fiction,fiction,fiction,972
21,2,33114,young-adult,young-adult,young_adult,865
21,2,22973,paranormal,paranormal,paranormal,688
21,2,20939,mystery,mystery,mystery,447
21,2,26138,romance,romance,romance,213
2,3,11305,fantasy,fantasy,fantasy,47478
2,3,33114,young-adult,young-adult,young_adult,14984
2,3,11743,fiction,fiction,fiction,13239
2,3,6953,childrens,childrens,children,3828
2,3,6857,children,children,children,2571
2,3,7457,classics,classics,classics,1898
2,3,22973,paranormal,paranormal,paranormal,923
2,3,20939,mystery,mystery,mystery,657
2,3,8055,contemporary,contemporary,contemporary,397
18,5,11305,fantasy,fantasy,fantasy,39330
18,5,33114,young-adult,young-adult,young_adult,12856
18,5,11743,fiction,fiction,fiction,10656
18,5,6953,childrens,childrens,children,2960
18,5,6857,children,children,children,1966
18,5,7457,classics,classics,classics,1090
18,5,22973,paranormal,paranormal,paranormal,720
18,5,20939,mystery,mystery,mystery,526
18,5,8055,contemporary,contemporary,contemporary,324
24,6,11305,fantasy,fantasy,fantasy,38378
24,6,33114,young-adult,young-adult,young_adult,12979
24,6,11743,fiction,fiction,fiction,10249
24,6,6953,childrens,childrens,children,2656
24,6,6857,children,children,children,1716
24,6,7457,classics,classics,classics,1032
24,6,22973,paranormal,paranormal,paranormal,702
24,6,20939,mystery,mystery,mystery,493
24,6,8055,contemporary,contemporary,contemporary,301
3753,10,11305,fantasy,fantasy,fantasy,253
3753,10,11743,fiction,fiction,fiction,84
3753,10,33114,young-adult,young-adult,young_adult,78
3753,10,6953,childrens,childrens,children,19
3753,10,6857,children,children,children,18
3753,10,7457,classics,classics,classics,9
3753,10,22973,paranormal,paranormal,paranormal,5
3753,10,20939,mystery,mystery,mystery,3
3753,10,8055,contemporary,contemporary,contemporary,3
54,11,26837,science-fiction,science-fiction,science_fiction,10977
54,11,11743,fiction,fiction,fiction,7012
54,11,15048,humor,humor,humor,4397
54,11,11305,fantasy,fantasy,fantasy,3428
54,11,7457,classics,classics,classics,2829
54,11,33114,young-adult,young-adult,young_adult,307
54,11,26816,science,science,science,224
54,11,10210,ebooks,ebooks,ebooks,151
54,11,8055,contemporary,contemporary,contemporary,127
337,13,26837,science-fiction,science-fiction,science_fiction,2614
337,13,11743,fiction,fiction,fiction,1979
337,13,15048,humor,humor,humor,1225
337,13,11305,fantasy,fantasy,fantasy,933
337,13,7457,classics,classics,classics,551
337,13,26816,science,science,science,89
337,13,10210,ebooks,ebooks,ebooks,54
337,13,33114,young-adult,young-adult,young_adult,51
337,13,8055,contemporary,contemporary,contemporary,36
337,13,23471,philosophy,philosophy,philosophy,23
374,21,14552,history,history,history,3160
374,21,21773,nonfiction,nonfiction,nonfiction,1845
374,21,26816,science,science,science,1040
374,21,15048,humor,humor,humor,340
374,21,23471,philosophy,philosophy,philosophy,137
374,21,10210,ebooks,ebooks,ebooks,77
374,21,31155,travel,travel,travel,73
374,21,11743,fiction,fiction,fiction,53
1460,24,31155,travel,travel,travel,2312
1460,24,21773,nonfiction,nonfiction,nonfiction,702
1460,24,15048,humor,humor,humor,572
1460,24,19733,memoir,memoir,memoir,267
1460,24,14552,history,history,history,114
1460,24,4605,biography,biography,biography,67
1460,24,11743,fiction,fiction,fiction,30
1460,24,10210,ebooks,ebooks,ebooks,18
1460,24,8055,contemporary,contemporary,contemporary,15
1976,25,15048,humor,humor,humor,603
1976,25,21773,nonfiction,nonfiction,nonfiction,540
1976,25,19733,memoir,memoir,memoir,354
1976,25,4605,biography,biography,biography,138
1976,25,31155,travel,travel,travel,94
1976,25,14552,history,history,history,45
1976,25,11743,fiction,fiction,fiction,29
1976,25,10210,ebooks,ebooks,ebooks,27
1976,25,26816,science,science,science,20
1976,25,8055,contemporary,contemporary,contemporary,17
2321,26,31155,travel,travel,travel,1536
2321,26,21773,nonfiction,nonfiction,nonfiction,390
2321,26,15048,humor,humor,humor,362
2321,26,19733,memoir,memoir,memoir,190
2321,26,4605,biography,biography,biography,60
2321,26,11743,fiction,fiction,fiction,22
2321,26,14552,history,history,history,21
2321,26,8055,contemporary,contemporary,contemporary,16
2321,26,10210,ebooks,ebooks,ebooks,16
2279,27,31155,travel,travel,travel,1827
2279,27,21773,nonfiction,nonfiction,nonfiction,362
2279,27,15048,humor,humor,humor,329
2279,27,19733,memoir,memoir,memoir,180
2279,27,4605,biography,biography,biography,61
2279,27,14552,history,history,history,32
2279,27,10210,ebooks,ebooks,ebooks,18
2279,27,11743,fiction,fiction,fiction,16
2279,27,8055,contemporary,contemporary,contemporary,12
1449,28,31155,travel,travel,travel,2191
1449,28,21773,nonfiction,nonfiction,nonfiction,653
1449,28,15048,humor,humor,humor,509
1449,28,19733,memoir,memoir,memoir,306
1449,28,4605,biography,biography,biography,107
1449,28,14552,history,history,history,51
1449,28,11743,fiction,fiction,fiction,48
1449,28,8055,contemporary,contemporary,contemporary,32
1449,28,10210,ebooks,ebooks,ebooks,26
4079,29,15048,humor,humor,humor,170
4079,29,21773,nonfiction,nonfiction,nonfiction,167
4079,29,14552,history,history,history,151
4079,29,10210,ebooks,ebooks,ebooks,18
4079,29,8055,contemporary,contemporary,contemporary,12
964,30,11743,fiction,fiction,fiction,322
964,30,11305,fantasy,fantasy,fantasy,105
964,30,33114,young-adult,young-adult,young_adult,50
964,30,7457,classics,classics,classics,44
964,30,26837,science-fiction,science-fiction,science_fiction,26
964,30,6953,childrens,childrens,children,11
964,30,6857,children,children,children,10
189,33,11305,fantasy,fantasy,fantasy,13690
189,33,7457,classics,classics,classics,3904
189,33,11743,fiction,fiction,fiction,3758
189,33,33114,young-adult,young-adult,young_adult,278
189,33,26837,science-fiction,science-fiction,science_fiction,142
189,33,10210,ebooks,ebooks,ebooks,74
19,34,11305,fantasy,fantasy,fantasy,31618
19,34,7457,classics,classics,classics,7966
19,34,11743,fiction,fiction,fiction,7187
19,34,33114,young-adult,young-adult,young_adult,654
19,34,26837,science-fiction,science-fiction,science_fiction,343
19,34,10210,ebooks,ebooks,ebooks,114
4229,36,11305,fantasy,fantasy,fantasy,104
4229,36,2938,art,art,art,31
4229,36,11743,fiction,fiction,fiction,15
4229,36,21773,nonfiction,nonfiction,nonfiction,7
4229,36,26816,science,science,science,1
388,50,33114,young-adult,young-adult,young_adult,2121
388,50,11743,fiction,fiction,fiction,1587
388,50,7457,classics,classics,classics,735
388,50,6953,childrens,childrens,children,610
388,50,6857,children,children,children,358
388,50,8055,contemporary,contemporary,contemporary,76
3504,67,14487,historical-fiction,historical-fiction,historical_fiction,682
3504,67,11743,fiction,fiction,fiction,212
3504,67,14552,history,history,history,79
3504,67,8055,contemporary,contemporary,contemporary,23
3504,67,7457,classics,classics,classics,13
3504,67,10210,ebooks,ebooks,ebooks,13
639,93,7457,classics,classics,classics,2886
639,93,6953,childrens,childrens,children,911
639,93,11743,fiction,fiction,fiction,858
639,93,6857,children,children,children,754
639,93,33114,young-adult,young-adult,young_adult,325
639,93,14487,historical-fiction,historical-fiction,historical_fiction,233
639,93,10210,ebooks,ebooks,ebooks,20
7683,98,21773,nonfiction,nonfiction,nonfiction,118
7683,98,27095,self-help,self-help,self_help,14
7683,98,6857,children,children,children,6
7683,98,6953,childrens,childrens,children,5
7683,98,10210,ebooks,ebooks,ebooks,3
2817,105,26837,science-fiction,science-fiction,science_fiction,1356
2817,105,11743,fiction,fiction,fiction,439
2817,105,11305,fantasy,fantasy,fantasy,210
2817,105,7457,classics,classics,classics,65
2817,105,26816,science,science,science,35
2817,105,10210,ebooks,ebooks,ebooks,31
2817,105,23471,philosophy,philosophy,philosophy,7
1105,106,11743,fiction,fiction,fiction,1080
1105,106,11305,fantasy,fantasy,fantasy,620
1105,106,26837,science-fiction,science-fiction,science_fiction,607
1105,106,7457,classics,classics,classics,155
1105,106,26816,science,science,science,80
1105,106,10210,ebooks,ebooks,ebooks,41
1105,106,23471,philosophy,philosophy,philosophy,25
1262,112,26837,science-fiction,science-fiction,science_fiction,2762
1262,112,11743,fiction,fiction,fiction,887
1262,112,11305,fantasy,fantasy,fantasy,478
1262,112,7457,classics,classics,classics,110
1262,112,26816,science,science,science,73
1262,112,10210,ebooks,ebooks,ebooks,39
1262,112,23471,philosophy,philosophy,philosophy,25
2491,117,26837,science-fiction,science-fiction,science_fiction,1535
2491,117,11743,fiction,fiction,fiction,501
2491,117,11305,fantasy,fantasy,fantasy,229
2491,117,7457,classics,classics,classics,68
2491,117,26816,science,science,science,48
2491,117,10210,ebooks,ebooks,ebooks,29
2491,117,23471,philosophy,philosophy,philosophy,15
3230,119,11305,fantasy,fantasy,fantasy,89
3230,119,2938,art,art,art,66
3230,119,21773,nonfiction,nonfiction,nonfiction,11
3230,119,11743,fiction,fiction,fiction,10
3230,119,7457,classics,classics,classics,5
3230,119,26816,science,science,science,1
1597,122,11743,fiction,fiction,fiction,1102
1597,122,14487,historical-fiction,historical-fiction,historical_fiction,465
1597,122,7457,classics,classics,classics,126
1597,122,33114,young-adult,young-adult,young_adult,62
1597,122,14552,history,history,history,37
1597,122,8055,contemporary,contemporary,contemporary,31
1597,122,28422,sports,sports,sports,20
1597,122,19733,memoir,memoir,memoir,12
1999,249,11743,fiction,fiction,fiction,271
1999,249,7457,classics,classics,classics,226
1999,249,19733,memoir,memoir,memoir,26
1999,249,26138,romance,romance,romance,24
1999,249,8055,contemporary,contemporary,contemporary,21
1999,249,10210,ebooks,ebooks,ebooks,19
6787,250,11743,fiction,fiction,fiction,363
6787,250,7457,classics,classics,classics,150
6787,250,8055,contemporary,contemporary,contemporary,11
6787,250,10210,ebooks,ebooks,ebooks,11
6787,250,26138,romance,romance,romance,7
6787,250,4605,biography,biography,biography,6
1783,264,7457,classics,classics,classics,2632
1783,264,11743,fiction,fiction,fiction,1053
1783,264,14487,historical-fiction,historical-fiction,historical_fiction,116
1783,264,26138,romance,romance,romance,93
1783,264,10210,ebooks,ebooks,ebooks,38
4602,275,11743,fiction,fiction,fiction,656
4602,275,7457,classics,classics,classics,262
4602,275,26138,romance,romance,romance,155
4602,275,14487,historical-fiction,historical-fiction,historical_fiction,81
4602,275,19733,memoir,memoir,memoir,40
4602,275,8055,contemporary,contemporary,contemporary,22
4602,275,4605,biography,biography,biography,20
