id,book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,book_key,lead_author,language_known,publication_year_known,early_title_key,strict_title_key,star_ratings_total,star_weighted_average,average_rating_star_gap,cleaned_rating_activity_count,cleaned_rating_activity_mean,reading_intent_count,main_genre,main_genre_tag_count,main_genre_book_count,demand_absolute_score,exposure_gap_score,genre_scarcity_score,quality_score,first_review_score,reader_intent_contribution,exposure_gap_contribution,genre_scarcity_contribution,quality_contribution,intent_per_cleaned_rating,relative_demand_score,relative_reader_intent_contribution,relative_review_score
7884,7006562,7006562,7251072,16,785134530,9780785134530.0,"Marc Guggenheim, Alex Maleev, Stephen King",2008.0,Stephen King's N.,Stephen King's N.,eng,4.22,10844,11339,247,183,418,1910,3062,5766,https://images.gr-assets.com/books/1492728218m/7006562.jpg,https://images.gr-assets.com/books/1492728218s/7006562.jpg,7884,Marc Guggenheim,True,True,stephen king's n.,stephen king s n,11339,4.217920451538936,0.0020795484610633,100,4.21,154,horror,183,236,85.14370014206098,88.34007212326522,76.00808654791827,81.44465085782974,83.16118456999236,28.948858048300732,21.20161730958365,16.721779040542017,16.288930171565948,1.54,85.00163916511858,28.90055731614032,83.11288383783194
7297,163363,163363,1526762,20,809015803,9780809015800.0,Gerda Weissmann Klein,1959.0,All But My Life,All But My Life: A Memoir,en-US,4.28,13710,14111,893,268,398,1790,4332,7323,https://images.gr-assets.com/books/1316131452m/163363.jpg,https://images.gr-assets.com/books/1316131452s/163363.jpg,7297,Gerda Weissmann Klein,True,True,all but my life,all but my life,14111,4.278718730068741,0.0012812699312592,95,4.273684210526316,127,memoir,187,155,81.66867009070047,74.93170145339307,84.3295814665064,88.1870833788657,81.94088077805704,27.76734783083816,17.983608348814336,18.552507922631406,17.63741667577314,1.3368421052631578,82.4281499289695,28.025570975849632,82.1991039230685
7275,13547504,13547504,19112644,30,743236718,9780743236710.0,Andrew Solomon,2012.0,"Far from the Tree: Parents, Children, and the Search for Identity","Far from the Tree: Parents, Children, and the Search for Identity",eng,4.26,11879,13240,1875,251,445,1677,4053,6814,https://images.gr-assets.com/books/1363008433m/13547504.jpg,https://images.gr-assets.com/books/1363008433s/13547504.jpg,7275,Andrew Solomon,True,True,"far from the tree: parents, children, and the search for identity",far from tree parents children and search for identity,13240,4.263897280966767,-0.0038972809667674,100,4.46,137,nonfiction,421,257,82.95814665063928,83.19309365096711,73.31439186974102,86.22008523658616,81.54529559610971,28.205769861217355,19.966342476232107,16.129166211343023,17.244017047317232,1.37,82.82154955742543,28.159326849524646,81.49885258441701
8362,25852784,25852784,45720714,16,553447432,9780553447440.0,Matthew Desmond,2016.0,Evicted: Poverty and Profit in the American City,Evicted: Poverty and Profit in the American City,eng,4.48,15165,17326,3019,98,251,1329,5234,10414,https://images.gr-assets.com/books/1453060710m/25852784.jpg,https://images.gr-assets.com/books/1453060710s/25852784.jpg,8362,Matthew Desmond,True,True,evicted: poverty and profit in the american city,evicted poverty and profit in american city,17326,4.478413944361076,0.0015860556389242,96,4.479166666666667,131,nonfiction,783,257,82.24784176592722,68.98699595672603,73.31439186974102,98.42640148617636,80.3355917386078,27.964266200415256,16.556879029614247,16.129166211343023,19.68528029723528,1.3645833333333333,82.73412741776855,28.12960332204131,80.50092886023384
6810,25817162,25817162,45584335,9,62347268,9780062347270.0,"Stephanie Dray, Laura Kamoie",2016.0,America's First Daughter,America's First Daughter,eng,4.22,13279,19194,2413,271,561,2395,7484,8483,https://images.gr-assets.com/books/1459542134m/25817162.jpg,https://images.gr-assets.com/books/1459542134s/25817162.jpg,6810,Stephanie Dray,True,True,america's first daughter,america s first daughter,19194,4.216369698864228,0.0036303011357716,100,4.1,200,historical_fiction,927,410,89.19243798491968,76.90416347940115,66.26051797617747,81.44465085782974,79.64867227625396,30.32542891487269,18.45699923505628,14.577313954759044,16.288930171565948,2.0,89.1432630313627,30.308709430663317,79.63195279204459
2958,24113,24113,850076,48,465026567,9780465026560.0,Douglas R. Hofstadter,1979.0,"Gödel, Escher, Bach: An Eternal Golden Braid","Gödel, Escher, Bach: An Eternal Golden Braid",eng,4.3,31616,33510,1383,642,1234,4068,9200,18366,https://images.gr-assets.com/books/1428732588m/24113.jpg,https://images.gr-assets.com/books/1428732588s/24113.jpg,2958,Douglas R. Hofstadter,True,True,"gödel, escher, bach: an eternal golden braid",gödel escher bach eternal golden braid,33510,4.295553566099672,0.0044464339003278,100,4.3,255,science,1386,86,92.05551305868212,34.18752048956398,96.11517866899791,90.19232870724512,78.68768440607585,31.29887443995192,8.205004917495355,21.145339307179544,18.038465741449023,2.55,92.01726587258223,31.28587039667796,78.67468036280188
9993,4936457,4936457,5002120,27,224079948,9780224079940.0,Ian Mortimer,2008.0,The Time-Traveller's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century,The Time Traveller's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century,eng,3.99,9824,12115,970,236,521,2497,4790,4071,https://images.gr-assets.com/books/1328167619m/4936457.jpg,https://images.gr-assets.com/books/1328167619s/4936457.jpg,9993,Ian Mortimer,True,True,the time-traveller's guide to medieval england: a handbook for visitors to the fourteenth century,time traveller s guide to medieval england handbook for visitors to fourteenth century,12115,3.985472554684276,0.0045274453157246,88,4.0,133,history,1320,194,82.48825264998361,92.86416785050814,80.49939897278986,46.32280625068299,77.30783520926674,28.04600590099443,22.28740028412195,17.70986777401377,9.264561250136598,1.5113636363636365,84.75576439733362,28.816959895093433,78.07878920336574
3953,6792458,6792458,6996712,18,1595581030,9781595581040.0,Michelle Alexander,2010.0,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,eng,4.49,23205,27002,3438,186,432,2003,7860,16521,https://images.gr-assets.com/books/1328751532m/6792458.jpg,https://images.gr-assets.com/books/1328751532s/6792458.jpg,3953,Michelle Alexander,True,True,the new jim crow: mass incarceration in the age of colorblindness,new jim crow mass incarceration in age of colorblindness,27002,4.485001111028812,0.0049988889711878,100,4.4,200,nonfiction,864,257,89.19243798491968,46.61785597202491,73.31439186974102,98.61217353294722,77.36531526609113,30.32542891487269,11.188285433285978,16.129166211343023,19.722434706589446,2.0,89.1432630313627,30.308709430663317,77.34859578188176
1851,7170627,7170627,7580942,58,1439107955,9781439107960.0,Siddhartha Mukherjee,2010.0,The Emperor of All Maladies: A Biography of Cancer,The Emperor of All Maladies: A Biography of Cancer,eng,4.29,48117,53649,4907,749,1435,6492,18009,26964,https://images.gr-assets.com/books/1280771091m/7170627.jpg,https://images.gr-assets.com/books/1280771091s/7170627.jpg,1851,Siddhartha Mukherjee,True,True,the emperor of all maladies: a biography of cancer,emperor of all maladies biography of cancer,53649,4.286212231355663,0.0037877686443366,100,4.25,447,science,1624,86,96.54136159982517,21.84460714675992,96.11517866899791,89.24707682220522,77.06152333078353,32.82406294394056,5.24270571522238,21.145339307179544,17.849415364441043,4.47,96.51950606491094,32.81663206206972,77.05409244891268
6425,77449,77449,74826,15,345382846,9780345382850.0,Sharon Kay Penman,1985.0,Here be Dragons,"Here be Dragons (Welsh Princes, #1)",eng,4.3,16205,17444,1146,205,422,2190,5732,8895,https://images.gr-assets.com/books/1448657042m/77449.jpg,https://images.gr-assets.com/books/1448657042s/77449.jpg,6425,Sharon Kay Penman,True,True,here be dragons,here be dragons,17444,4.30073377665673,-0.0007337766567303,100,4.09,149,historical_fiction,1403,410,84.59731176920555,65.45186318435144,66.26051797617747,90.19232870724512,77.0873128619823,28.76308600152989,15.708447164244344,14.577313954759044,18.038465741449023,1.49,84.4716424434488,28.720358430772595,77.044585291225
