book_key,original_title,authors,strict_title_key,early_title_collision_count,strict_title_collision_count,strict_collision_increase,original_title_length,short_title,listed_author_count,author_ambiguity,title_merging_points,short_title_points,author_ambiguity_points,title_risk_score,monitoring_set_appearances,in_initial_volume,in_relative_demand,in_exposure_aware_quality,strict_collision_examples
7884,Stephen King's N.,"Marc Guggenheim, Alex Maleev, Stephen King",stephen king s n,0,0,False,17,True,3,True,0,20,10,30,3,True,True,True,
6425,Here be Dragons,Sharon Kay Penman,here be dragons,0,0,False,15,True,1,False,0,20,0,20,2,True,True,False,
7297,All But My Life,Gerda Weissmann Klein,all but my life,0,0,False,15,True,1,False,0,20,0,20,3,True,True,True,
1851,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,emperor of all maladies biography of cancer,0,0,False,50,False,1,False,0,0,0,0,2,False,True,True,
2958,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,gödel escher bach eternal golden braid,0,0,False,44,False,1,False,0,0,0,0,3,True,True,True,
3953,The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,new jim crow mass incarceration in age of colorblindness,0,0,False,65,False,1,False,0,0,0,0,3,True,True,True,
6810,America's First Daughter,"Stephanie Dray, Laura Kamoie",america s first daughter,0,0,False,24,False,2,False,0,0,0,0,3,True,True,True,
7275,"Far from the Tree: Parents, Children, and the Search for Identity",Andrew Solomon,far from tree parents children and search for identity,0,0,False,65,False,1,False,0,0,0,0,3,True,True,True,
8362,Evicted: Poverty and Profit in the American City,Matthew Desmond,evicted poverty and profit in american city,0,0,False,48,False,1,False,0,0,0,0,3,True,True,True,
9993,The Time-Traveller's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century,Ian Mortimer,time traveller s guide to medieval england handbook for visitors to fourteenth century,0,0,False,97,False,1,False,0,0,0,0,3,True,True,True,
