book_key,canonical_genre,count
1,contemporary,382
1,ebooks,690
1,fantasy,10836
1,fiction,13819
1,romance,3341
1,science_fiction,8772
1,suspense,641
1,thriller,800
1,young_adult,25968
2,children,6399
2,classics,1898
2,contemporary,397
2,fantasy,47478
2,fiction,13239
2,mystery,657
2,paranormal,923
2,young_adult,14984
4,classics,31068
4,contemporary,253
4,crime,309
4,fiction,879
4,historical_fiction,4735
4,history,378
4,mystery,246
4,young_adult,2436
5,classics,32061
5,ebooks,257
5,fiction,15360
5,historical_fiction,2394
5,romance,2090
5,young_adult,397
6,chick_lit,309
6,contemporary,5214
6,ebooks,504
6,fiction,8070
6,humor,477
6,romance,7849
6,young_adult,17160
7,children,1898
7,classics,12913
7,ebooks,218
7,fantasy,41786
7,fiction,11206
7,science_fiction,438
7,young_adult,2234
8,classics,22118
8,contemporary,357
8,fiction,13435
8,historical_fiction,194
8,young_adult,3240
9,art,80
9,classics,87
9,contemporary,532
9,crime,820
9,ebooks,106
9,fantasy,322
9,fiction,9364
9,historical_fiction,822
9,history,174
9,mystery,5740
9,romance,87
9,science_fiction,155
9,suspense,1274
9,thriller,4563
10,chick_lit,505
10,classics,35772
10,ebooks,489
10,fiction,11000
10,historical_fiction,2813
10,history,232
10,romance,8756
10,young_adult,223
11,classics,980
11,contemporary,1219
11,ebooks,129
11,fiction,11711
11,historical_fiction,3741
11,history,302
11,young_adult,203
12,ebooks,572
12,fantasy,5134
12,fiction,5648
12,romance,3694
12,science_fiction,4914
12,thriller,281
12,young_adult,17987
13,ebooks,235
13,fantasy,879
13,fiction,15044
13,horror,211
13,philosophy,633
13,science_fiction,7892
13,young_adult,232
14,classics,22106
14,ebooks,147
14,fantasy,2179
14,fiction,12944
14,historical_fiction,335
14,history,235
14,philosophy,632
14,science_fiction,1393
14,young_adult,467
15,biography,4256
15,children,406
15,classics,10919
15,fiction,451
15,historical_fiction,533
15,history,4359
15,memoir,2765
15,nonfiction,3817
15,young_adult,1973
16,contemporary,975
16,crime,3260
16,ebooks,274
16,fiction,10382
16,mystery,9141
16,suspense,1386
16,thriller,4727
17,contemporary,285
17,ebooks,638
17,fantasy,8658
17,fiction,466
17,romance,2800
17,science_fiction,316
17,suspense,479
17,thriller,605
17,young_adult,22245
18,children,4926
18,classics,1090
18,contemporary,324
18,fantasy,39330
18,fiction,10656
18,mystery,526
18,paranormal,720
18,young_adult,12856
19,classics,7966
19,ebooks,114
19,fantasy,31618
19,fiction,7187
19,science_fiction,343
19,young_adult,654
20,ebooks,642
20,fantasy,8021
20,fiction,10208
20,romance,2491
20,science_fiction,6490
20,suspense,400
20,thriller,528
20,young_adult,20950
21,children,1591
21,fantasy,3441
21,fiction,972
21,mystery,447
21,paranormal,688
21,romance,213
21,young_adult,865
22,chick_lit,222
22,classics,132
22,contemporary,1260
22,crime,731
22,ebooks,111
22,fantasy,1047
22,fiction,8468
22,horror,201
22,mystery,2510
22,paranormal,351
22,romance,152
22,suspense,270
22,thriller,365
22,young_adult,1647
23,children,5166
23,classics,1129
23,contemporary,317
23,fantasy,39501
23,fiction,10755
23,mystery,602
23,paranormal,732
23,young_adult,12691
24,children,4372
24,classics,1032
24,contemporary,301
24,fantasy,38378
24,fiction,10249
24,mystery,493
24,paranormal,702
24,young_adult,12979
25,children,3955
25,classics,1019
25,contemporary,316
25,fantasy,37296
25,fiction,10012
25,mystery,429
25,paranormal,704
25,romance,349
25,young_adult,12937
26,art,242
26,classics,227
26,contemporary,786
26,ebooks,133
26,fantasy,379
26,fiction,13725
26,historical_fiction,1379
26,history,324
26,mystery,121
26,romance,115
26,science_fiction,101
26,suspense,1507
26,thriller,5358
27,children,3968
27,classics,958
27,contemporary,289
27,fantasy,37174
27,fiction,9954
27,mystery,465
27,paranormal,673
27,romance,334
27,young_adult,12716
28,children,315
28,classics,20516
28,contemporary,119
28,fantasy,226
28,fiction,11132
28,historical_fiction,175
28,horror,612
28,philosophy,146
28,science_fiction,313
28,thriller,161
28,young_adult,2774
29,classics,20507
29,ebooks,119
29,fiction,4632
29,historical_fiction,442
29,poetry,850
29,romance,4204
29,young_adult,346
30,contemporary,1646
30,crime,2134
30,fiction,1808
30,mystery,8307
30,romance,290
30,suspense,422
30,thriller,1321
31,chick_lit,850
31,classics,519
31,contemporary,811
31,ebooks,213
31,fiction,9879
31,historical_fiction,8342
31,history,494
31,humor,121
31,young_adult,116
32,classics,19214
32,fiction,9439
32,historical_fiction,1433
32,young_adult,339
33,biography,206
33,chick_lit,240
33,classics,1197
33,contemporary,551
33,fiction,8127
33,historical_fiction,7195
33,history,489
33,memoir,314
33,romance,1785
34,chick_lit,89
34,contemporary,198
